date,name,value
2015-09-01,prognoza_ew_pos,NA
2015-09-01,prognoza_pca_pos,NA
2015-09-01,prognoza_ewm_pos,NA
2015-10-01,miernik_ew,0.09843324256918312
2015-10-01,miernik_pca,-2.22963138005818
2015-10-01,miernik_ewm,0.605407195857964
2015-10-01,prognoza_ew_pos,NA
2015-10-01,prognoza_pca_pos,NA
2015-10-01,prognoza_ewm_pos,NA
2015-11-01,miernik_ew,-0.07951787269749461
2015-11-01,miernik_pca,-2.501278196517734
2015-11-01,miernik_ewm,0.5400910783098379
2015-11-01,prognoza_ew_pos,NA
2015-11-01,prognoza_pca_pos,NA
2015-11-01,prognoza_ewm_pos,NA
2015-12-01,miernik_ew,0.10028629106267603
2015-12-01,miernik_pca,-2.2981299282552383
2015-12-01,miernik_ewm,0.5004014352362026
2015-12-01,prognoza_ew_pos,NA
2015-12-01,prognoza_pca_pos,NA
2015-12-01,prognoza_ewm_pos,NA
2016-01-01,miernik_ew,0.10896366790193675
2016-01-01,miernik_pca,-3.8191296049351138
2016-01-01,miernik_ewm,0.3264966804669639
2016-01-01,prognoza_ew_pos,NA
2016-01-01,prognoza_pca_pos,NA
2016-01-01,prognoza_ewm_pos,NA
2016-02-01,miernik_ew,-0.30565086135099395
2016-02-01,miernik_pca,-2.7356874143611885
2016-02-01,miernik_ewm,0.5075412524882293
2016-02-01,prognoza_ew_pos,NA
2016-02-01,prognoza_pca_pos,NA
2016-02-01,prognoza_ewm_pos,NA
2016-03-01,miernik_ew,-0.1199560449672862
2016-03-01,miernik_pca,-2.3862385964671464
2016-03-01,miernik_ewm,0.49754941465603497
2016-03-01,prognoza_ew_pos,NA
2016-03-01,prognoza_pca_pos,NA
2016-03-01,prognoza_ewm_pos,NA
2016-04-01,miernik_ew,-0.23570174326391372
2016-04-01,miernik_pca,-1.474344854193902
2016-04-01,miernik_ewm,0.6199053239822991
2016-04-01,prognoza_ew_pos,NA
2016-04-01,prognoza_pca_pos,NA
2016-04-01,prognoza_ewm_pos,NA
2016-05-01,miernik_ew,-0.5673033367429008
2016-05-01,miernik_pca,-0.1982358302880278
2016-05-01,miernik_ewm,0.7330462287769758
2016-05-01,prognoza_ew_pos,NA
2016-05-01,prognoza_pca_pos,NA
2016-05-01,prognoza_ewm_pos,NA
2016-06-01,miernik_ew,-0.5927468877575883
2016-06-01,miernik_pca,0.10411745684157492
2016-06-01,miernik_ewm,0.7815863522240661
2016-06-01,prognoza_ew_pos,NA
2016-06-01,prognoza_pca_pos,NA
2016-06-01,prognoza_ewm_pos,NA
2016-07-01,miernik_ew,-0.446341350290247
2016-07-01,miernik_pca,0.3173787053351936
2016-07-01,miernik_ewm,0.8075206284807149
2016-07-01,prognoza_ew_pos,NA
2016-07-01,prognoza_pca_pos,NA
2016-07-01,prognoza_ewm_pos,NA
2016-08-01,miernik_ew,-0.401306679996503
2016-08-01,miernik_pca,0.7662735235275151
2016-08-01,miernik_ewm,0.7802162263076137
2016-08-01,prognoza_ew_pos,NA
2016-08-01,prognoza_pca_pos,NA
2016-08-01,prognoza_ewm_pos,NA
2016-09-01,miernik_ew,-0.07567341412645212
